"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","User can see the presence of elements for interaction","4","0","","0"
"0","","0","Login page functionality","4","0","","0"
"0","","0","Account information page functionality","2","0","","0"
"0","","0","Registering new user account","2","0","","0"
